,brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
11172,Maruti,4,18000,Individual,Petrol,Manual,17.5,1373,91.1,7,675000
11174,Maruti,15,90000,Dealer,Petrol,Manual,19.7,796,46.3,5,110000
11175,Ford,7,72341,Dealer,Diesel,Manual,22.77,1498,98.59,5,510000
11178,Hyundai,4,77795,Dealer,Diesel,Manual,24,1186,73.97,5,475000
11179,Maruti,9,250000,Individual,Diesel,Manual,19.3,1248,73.9,5,400000
11181,Honda,4,30000,Individual,Diesel,Manual,25.5,1498,98.6,5,750000
11184,Hyundai,7,60000,Individual,Petrol,Manual,20.36,1197,78.9,5,285000
11185,Hyundai,3,18200,Dealer,Petrol,Manual,18.9,1197,81.86,5,500000
11186,Toyota,9,120000,Individual,Petrol,Manual,12.4,1998,132,8,650000
11188,Maruti,3,31400,Dealer,Petrol,Manual,21.01,1197,81.8,5,635000
11189,Honda,6,34277,Dealer,Petrol,Manual,17.8,1497,117.3,5,575000
11190,Maruti,11,42500,Dealer,Diesel,Manual,25.2,1248,74,5,219000
11191,Mercedes-Benz,9,186900,Dealer,Diesel,Automatic,11.3,2987,254.8,7,1690000
11192,Maruti,5,50000,Individual,Petrol,Manual,23.95,998,67.05,5,280000
11194,Maruti,5,90000,Individual,Diesel,Manual,24.52,1248,88.5,7,550000
11195,Maruti,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,625000
11197,Maruti,8,46783,Trustmark Dealer,CNG,Manual,30.46,796,47.3,5,210000
11198,Maruti,4,23000,Dealer,Petrol,Manual,20.85,1197,83.14,5,525000
11201,Maruti,2,40000,Individual,Petrol,Manual,24.7,796,47.3,5,290000
11202,Maruti,11,59117,Dealer,Petrol,Manual,17.5,1298,85.8,5,300000
11204,Audi,7,32000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1780000
11205,Ford,8,60000,Dealer,Diesel,Manual,22.7,1498,89.84,5,430000
11206,Hyundai,2,9915,Dealer,Diesel,Automatic,22,1582,126.2,5,1590000
11209,Hyundai,8,48265,Dealer,Petrol,Automatic,17.01,1591,121.4,5,415000
11210,Ford,9,80000,Individual,Diesel,Manual,13.1,2499,141,7,500000
11211,Hyundai,2,23700,Individual,Petrol,Manual,18.6,1197,81.86,5,550000
11212,Hyundai,6,59000,Dealer,Petrol,Manual,16.3,1797,147.4,5,699000
11215,Maruti,5,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,700000
11217,Datsun,5,15000,Individual,Petrol,Manual,20.63,1198,67,5,320000
11218,Maruti,10,70000,Individual,Petrol,Manual,17.5,1197,85.8,5,300000
11220,Toyota,7,139830,Dealer,Diesel,Manual,13,2982,168.5,7,1675000
11221,Lexus,4,24000,Dealer,Petrol,Automatic,22.37,2487,214.56,5,4700000
11222,Ford,8,71000,Dealer,Diesel,Manual,22.7,1498,89.84,5,475000
11224,Maruti,4,30000,Individual,Petrol,Manual,22,1197,81.8,5,460000
11225,Maruti,1,15000,Individual,Diesel,Manual,28.4,1248,74,5,700000
11226,Hyundai,4,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,740000
11227,Hyundai,11,60200,Individual,LPG,Manual,17.8,1086,63,5,150000
11229,Maruti,7,80000,Individual,Petrol,Manual,22.74,796,47.3,5,210000
11231,Maruti,3,70000,Individual,Diesel,Manual,28.4,1248,74.02,5,690000
11232,Tata,3,30000,Individual,Petrol,Manual,23.84,1199,84,5,400000
11233,Honda,8,8989,Dealer,Petrol,Manual,16.8,1497,116.3,5,525000
11235,Hyundai,3,35000,Individual,Diesel,Manual,24,1186,73.97,5,550000
11236,Maruti,1,45000,Individual,CNG,Manual,26.55,1197,81.8,5,550000
11237,Volkswagen,4,10000,Individual,Petrol,Manual,16.2,1199,74,5,500000
11238,Maruti,5,13000,Individual,Petrol,Manual,22.74,796,47.3,5,250000
11240,Hyundai,9,26099,Dealer,Petrol,Manual,19.81,1086,68.05,5,239000
11241,Ford,5,55000,Dealer,Diesel,Manual,22.7,1498,89.84,5,750000
11242,Hyundai,7,43000,Dealer,Petrol,Manual,18.6,1197,81.83,5,450000
11243,Hyundai,6,87000,Individual,Petrol,Manual,18.6,1197,81.83,5,475000
11246,Honda,5,31975,Dealer,Petrol,Manual,17.8,1497,117.3,5,539000
11249,Ford,4,40000,Individual,Diesel,Manual,22.77,1498,98.59,5,888000
11250,Mahindra,4,100000,Individual,Diesel,Manual,25.32,1198,77,5,450000
11251,Maruti,4,11000,Dealer,Petrol,Manual,24.7,796,47.3,5,285000
11252,Mahindra,10,160000,Individual,Diesel,Manual,13.6,2523,63,7,350000
11255,Maruti,12,36259,Dealer,Petrol,Manual,18.9,998,67.1,5,129000
11256,Hyundai,10,30000,Individual,Petrol,Automatic,16.95,1197,78.9,5,225000
11257,Hyundai,5,36000,Dealer,Petrol,Manual,18.9,1197,82,5,379000
11258,Maruti,4,4000,Individual,Petrol,Automatic,23.1,998,67.04,5,478000
11259,Hyundai,8,40000,Individual,Diesel,Manual,24,1120,70,5,350000
11260,Hyundai,12,25000,Individual,Petrol,Manual,13.9,1599,103.2,5,140000
11261,Maruti,2,25000,Individual,Diesel,Manual,24.3,1248,88.5,5,800000
11262,Maruti,7,67067,Dealer,Diesel,Manual,28.4,1248,74,5,425000
11264,Maruti,5,90000,Individual,Diesel,Manual,25.2,1248,74,5,450000
11265,Tata,3,30000,Individual,Diesel,Manual,14.1,2179,153.86,7,1100000
11266,Renault,8,61000,Individual,Diesel,Manual,19.01,1461,108.45,5,500000
11268,Honda,4,78000,Dealer,Diesel,Manual,27.3,1498,98.6,5,635000
11269,Maruti,10,78000,Dealer,CNG,Manual,26.2,998,58.2,5,210000
11270,Maruti,2,9900,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
11272,Volkswagen,8,55000,Dealer,Petrol,Manual,15.04,1598,103.6,5,335000
11273,Maruti,6,32000,Dealer,Petrol,Manual,18.9,998,67.1,5,350000
11274,Hyundai,3,85000,Individual,Diesel,Manual,19.67,1582,126.2,5,1150000
11275,Volkswagen,5,28000,Dealer,Diesel,Automatic,22.15,1498,108.6,5,565000
11276,Honda,10,40833,Dealer,Petrol,Automatic,16.8,1497,118,5,375000
11278,Renault,8,70000,Individual,Diesel,Manual,19.01,1461,108.45,5,400000
11279,Mahindra,3,22000,Individual,Diesel,Manual,15.96,2523,62.1,7,780000
11280,Hyundai,8,40000,Individual,Petrol,Manual,17.92,1086,62.1,5,240000
11281,Mahindra,11,49000,Dealer,Diesel,Manual,12.05,2179,120,7,399000
11282,Mahindra,5,80000,Individual,Diesel,Manual,16.5,1493,70,7,650000
11285,Maruti,4,18000,Individual,Petrol,Manual,24.7,796,47.3,5,270000
11286,Maruti,5,30000,Individual,Petrol,Manual,23.95,998,67.05,5,300000
11287,Hyundai,2,40000,Individual,Diesel,Manual,20.5,1582,126.2,5,1500000
11288,Hyundai,4,29000,Individual,Petrol,Manual,18.9,1197,81.86,5,485000
11289,Maruti,2,40000,Dealer,Petrol,Manual,20.73,1373,91.1,5,825000
11291,Toyota,6,950000,Dealer,Diesel,Manual,12.99,2494,100.6,7,950000
11293,Maruti,5,54287,Dealer,Diesel,Manual,24.3,1248,88.5,5,660000
11294,Maruti,2,40000,Individual,CNG,Manual,21.94,1196,61.7,5,400000
11295,Maruti,4,19000,Individual,Petrol,Manual,23.1,998,67.04,5,410000
11296,Toyota,4,30000,Individual,Diesel,Manual,13.68,2393,147.8,7,1950000
11297,Hyundai,6,70000,Individual,Petrol,Manual,18.6,1197,81.83,5,444000
11298,Maruti,5,68000,Dealer,CNG,Manual,26.2,998,58.2,5,320000
11299,Maruti,3,10000,Individual,Petrol,Manual,20.73,1373,91.1,5,780000
11300,Hyundai,1,5000,Individual,Petrol,Manual,17.7,1497,113.42,5,816000
11301,Mercedes-Benz,5,36000,Dealer,Diesel,Automatic,13,2143,204,5,2790000
11302,Maruti,6,50000,Dealer,Petrol,Manual,20.85,1197,83.14,5,450000
11303,Kia,2,6076,Dealer,Petrol,Manual,16.8,1497,113.4,5,1149000
11304,Honda,2,15000,Individual,Diesel,Manual,25.6,1498,97.9,5,1050000
11305,Ford,7,80900,Dealer,Diesel,Manual,22.7,1498,89.84,5,475000
11306,Toyota,7,15000,Individual,Diesel,Manual,12.99,2494,100.6,7,925000
11307,Tata,2,40000,Individual,Diesel,Manual,17.6,2179,153.86,7,1525000
11308,Tata,5,29035,Dealer,Petrol,Manual,23.84,1199,84,5,375000
11309,Tata,6,150000,Dealer,Diesel,Manual,14.1,2179,148,7,650000
11310,Maruti,3,20000,Dealer,Petrol,Manual,21.01,1197,81.8,5,570000
11311,Tata,11,61000,Dealer,Diesel,Manual,13.93,2179,138,7,195000
11312,Toyota,9,97000,Dealer,Diesel,Manual,13,2982,168.7,7,1299000
11313,Maruti,6,49163,Dealer,Petrol,Manual,22.74,796,47.3,5,285000
11314,Tata,3,21000,Individual,Diesel,Manual,21.5,1497,108.5,5,900000
11315,Honda,2,13500,Individual,Petrol,Manual,17.5,1199,88.7,5,775000
11316,Mahindra,1,2500,Individual,Diesel,Manual,15.96,2523,63,9,800000
11317,Maruti,13,60000,Individual,Petrol,Manual,19.7,796,46.3,5,97000
11318,Maruti,3,10000,Individual,Petrol,Manual,23.95,998,67.05,5,320000
11320,Maruti,3,40000,Individual,Petrol,Manual,22,1197,81.8,5,515000
11321,Volkswagen,5,19000,Dealer,Petrol,Manual,16.2,1199,74,5,420000
11323,Ford,3,30000,Individual,Diesel,Manual,23,1498,98.96,5,950000
11324,Volkswagen,6,28500,Dealer,Diesel,Manual,20.14,1498,88.7,5,435000
11325,Maruti,3,14000,Dealer,Diesel,Manual,27.39,1248,74,5,730000
11327,Hyundai,6,34105,Dealer,Diesel,Manual,23.9,1582,126.2,5,549000
11328,Maruti,9,60000,Individual,Petrol,Manual,18.9,998,67.1,5,235000
11330,BMW,3,16000,Dealer,Diesel,Automatic,16.77,2993,261.49,5,8200000
11331,Datsun,4,27500,Individual,Petrol,Manual,22.7,799,53.64,5,206000
11332,Datsun,6,36000,Dealer,Petrol,Manual,19.02,1198,67.05,7,290000
11333,Maruti,18,150000,Individual,Petrol,Manual,18.9,998,67.1,5,65000
11334,Mahindra,9,120000,Individual,Diesel,Automatic,11.79,2179,120,8,600000
11337,Toyota,9,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,800000
11338,Hyundai,7,32000,Dealer,Petrol,Manual,18.9,1197,82,5,393000
11339,Volkswagen,5,9700,Dealer,Diesel,Manual,20.14,1498,88,5,450000
11340,Toyota,9,165000,Individual,Diesel,Manual,12.8,2494,102,7,850000
11341,Mahindra,3,13000,Individual,Diesel,Automatic,12.05,2157,178.49,7,2400000
11342,Toyota,8,98000,Individual,Diesel,Manual,12.8,2494,102,8,1000000
11344,Maruti,4,3192,Dealer,Petrol,Manual,20.51,998,67.04,5,415000
11345,Hyundai,2,15000,Individual,Petrol,Automatic,17,1591,121.3,5,1250000
11346,Honda,5,17012,Dealer,Petrol,Automatic,19,1199,88.7,5,540000
11348,Maruti,8,60000,Individual,Petrol,Manual,19.1,1197,85.8,5,319000
11349,Hyundai,7,17800,Individual,Petrol,Manual,19.81,1086,68.05,5,325000
11350,Renault,9,70000,Individual,Diesel,Manual,19.01,1461,108.45,5,400000
11351,Honda,4,26000,Dealer,Petrol,Manual,18.7,1199,88.7,5,635000
11353,Renault,5,30000,Individual,Petrol,Manual,25.17,799,53.3,5,225000
11354,Honda,5,100000,Individual,Diesel,Manual,27.3,1498,98.6,5,500000
11355,Honda,5,16000,Dealer,Diesel,Manual,27.3,1498,98.6,5,725000
11356,Volkswagen,7,85000,Individual,Petrol,Manual,16.47,1198,74,5,290000
11358,Maruti,7,43500,Dealer,Petrol,Manual,23.1,998,67.04,5,319000
11360,Maruti,1,1332,Dealer,Petrol,Manual,21.21,1197,81.8,5,625000
11361,Maruti,8,55204,Dealer,Diesel,Manual,22.9,1248,74,5,475000
11362,Hyundai,10,50000,Individual,Diesel,Manual,23,1396,90,5,350000
11363,Hyundai,2,24500,Individual,Diesel,Manual,24,1396,88.76,5,1000000
11365,Honda,5,48649,Dealer,Diesel,Manual,25.8,1498,98.6,5,500000
11366,Maruti,2,15000,Individual,Petrol,Manual,20.51,998,67.04,5,420000
11368,Mahindra,8,40000,Individual,Diesel,Manual,15.1,2179,140,7,850000
11369,Tata,2,40000,Individual,Diesel,Manual,21.5,1497,108.5,5,900000
11371,Maruti,9,11500,Individual,Petrol,Manual,20.92,998,67.1,5,210000
11373,Mahindra,5,70000,Individual,Diesel,Automatic,16,2179,140,7,1030000
11375,Maruti,9,56000,Dealer,Petrol,Manual,15.37,1196,73,7,175000
11377,Maruti,6,70000,Individual,Diesel,Manual,25.2,1248,74,5,425000
11378,Ford,5,35000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000
11379,Mahindra,4,60000,Dealer,Diesel,Automatic,16,2179,140,7,1250000
11380,Maruti,6,65000,Individual,Diesel,Manual,28.09,1248,88.5,5,475000
11381,Maruti,3,140000,Individual,Diesel,Manual,23.4,1248,74,5,550000
11383,Renault,2,7000,Individual,Petrol,Automatic,24.04,999,67,5,490000
11384,Jaguar,7,19000,Dealer,Diesel,Automatic,16.36,2179,187.7,5,2100000
11386,Honda,16,90000,Individual,Petrol,Manual,13,1343,90,5,125000
11387,Maruti,14,70000,Individual,Diesel,Manual,17.8,1248,75,5,120000
11388,Hyundai,5,34000,Dealer,Petrol,Manual,18.9,1197,82,5,410000
11389,Tata,3,60000,Individual,Diesel,Manual,14.1,2179,147.94,7,1100000
11391,Volkswagen,5,29432,Dealer,Diesel,Manual,22.27,1498,108.6,5,449000
11392,Honda,5,49000,Dealer,Petrol,Manual,16.6,1199,88.51,5,499000
11394,Maruti,3,15000,Individual,Petrol,Automatic,21.21,1197,81.8,5,680000
11395,Hyundai,14,120000,Individual,Diesel,Manual,16.8,1493,110,5,120000
11396,Maruti,8,60500,Individual,Diesel,Manual,23.4,1248,74,5,450000
11397,Maruti,3,15000,Individual,Petrol,Manual,20.89,1197,81.8,5,550000
11398,Maruti,4,90000,Individual,Diesel,Manual,24.3,1248,88.5,5,750000
11399,Ford,3,50000,Individual,Diesel,Manual,24.4,1498,98.63,5,730000
11400,Maruti,6,70000,Individual,Petrol,Manual,15.37,1196,73,5,250000
11402,Mahindra,7,225000,Individual,Diesel,Manual,15.96,2523,63,9,380000
11403,Volkswagen,8,35000,Individual,Petrol,Manual,16.47,1198,73.9,5,335000
11404,Toyota,10,180000,Individual,Diesel,Manual,12.8,2494,102,7,660000
11405,Hyundai,1,5600,Individual,Petrol,Manual,18.9,1197,81.86,5,580000
11406,Tata,3,50000,Individual,Diesel,Automatic,21.5,1497,108.5,5,1020000
11407,Hyundai,6,23114,Dealer,Petrol,Manual,18.6,1197,81.83,5,525000
11409,Honda,14,75075,Dealer,Petrol,Manual,17.7,1497,78,5,200000
11410,Datsun,1,15000,Individual,Petrol,Manual,19.02,1198,67.05,5,560000
11411,Hyundai,7,50000,Dealer,Diesel,Manual,24,1120,70,5,350000
11412,Honda,9,46967,Dealer,Petrol,Manual,16.7,1198,88.8,5,259000
11413,Tata,10,40000,Individual,Diesel,Manual,13.93,2179,138,7,450000
11414,Renault,7,50000,Dealer,Diesel,Manual,20.45,1461,83.8,5,495000
11415,Hyundai,9,40000,Individual,Petrol,Manual,17.1,1591,121.3,5,389000
11416,Hyundai,7,15000,Individual,Petrol,Manual,18.9,1197,82,5,500000
11417,Ford,4,14636,Dealer,Petrol,Manual,15.9,1496,120.69,5,725000
11418,Skoda,4,31111,Dealer,Diesel,Automatic,19.5,1968,141,5,1399000
11419,Mahindra,3,20000,Individual,Petrol,Manual,18.15,1198,82,6,380000
11421,Toyota,9,250000,Individual,Petrol,Manual,12.4,1998,132,8,800000
11422,Hyundai,12,50000,Dealer,Petrol,Manual,19.81,1086,68.05,5,191000
11423,Maruti,8,70000,Dealer,Diesel,Manual,23.4,1248,74,5,340000
11424,Hyundai,10,38225,Dealer,Petrol,Manual,18.5,1197,80,5,240000
11425,Volkswagen,4,18000,Dealer,Petrol,Automatic,17.21,1197,103.5,5,830000
11428,Maruti,3,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,735000
11430,Maruti,3,20000,Individual,Petrol,Manual,15.37,1196,73,5,400000
11431,Honda,6,56210,Dealer,Diesel,Manual,26,1498,98.6,5,875000
11432,Datsun,6,45000,Individual,Petrol,Manual,19.44,1198,67,7,275000
11434,Maruti,5,65000,Dealer,Diesel,Manual,22.9,1248,74,5,399000
11435,Hyundai,2,25000,Individual,Petrol,Manual,18.6,1197,81.86,5,660000
11436,Honda,14,44621,Dealer,Petrol,Manual,13,1343,90,5,300000
11437,Honda,3,44503,Dealer,Petrol,Manual,18.7,1199,88.7,5,600000
11438,Maruti,4,60000,Individual,CNG,Manual,26.6,998,58.16,5,320000
11440,Honda,6,59000,Dealer,Petrol,Manual,18,1198,86.7,5,399000
11441,Maruti,3,16000,Individual,Petrol,Automatic,20.89,1197,81.8,5,500000
11442,Maruti,6,11668,Individual,Petrol,Manual,23.1,998,67.04,5,325000
11443,Mahindra,2,23000,Individual,Diesel,Manual,16.55,2498,105,6,1000000
11445,Maruti,6,29000,Dealer,Diesel,Manual,27.39,1248,74,5,550000
11447,Tata,11,120000,Individual,Diesel,Manual,11.57,2179,138.1,7,200000
11448,Hyundai,3,105692,Dealer,Diesel,Manual,19.67,1582,126.2,5,1350000
11450,Honda,14,60000,Individual,Petrol,Manual,13.5,1799,130,5,200000
11451,Maruti,4,40000,Individual,Petrol,Automatic,23.1,998,67.04,5,420000
11452,Maruti,4,100000,Individual,Diesel,Manual,24.3,1248,88.5,5,760000
11454,Maruti,8,44500,Dealer,Petrol,Manual,19.01,1462,103.26,7,470000
11455,Maruti,6,62500,Individual,Diesel,Manual,25.2,1248,74,5,460000
11456,Ford,3,54400,Dealer,Diesel,Manual,21.7,1498,98.96,5,870000
11457,Toyota,11,48000,Dealer,Diesel,Manual,12.8,2494,102,8,525000
11458,Maruti,2,7000,Dealer,Diesel,Manual,28.4,1248,74.02,5,890000
11459,BMW,6,39000,Dealer,Diesel,Automatic,19.59,1995,184,5,1890000
11460,Mahindra,6,40000,Individual,Diesel,Manual,15.1,2179,140,7,700000
11462,Maruti,3,100000,Individual,Diesel,Manual,28.4,1248,74.02,5,900000
11464,Maruti,8,70000,Individual,Petrol,Manual,19.1,1197,85.8,5,350000
11469,Renault,2,23000,Individual,Petrol,Manual,20,999,72,7,550000
11470,Maruti,11,72000,Individual,CNG,Manual,26.83,796,38.4,5,125000
11471,Skoda,9,80000,Individual,Diesel,Manual,20.5,1598,103.5,5,400000
11472,Maruti,2,6500,Individual,Petrol,Manual,21.1,998,100.5,5,730000
11473,Hyundai,7,36976,Dealer,Petrol,Manual,19.81,1086,68.05,5,259000
11474,Renault,5,10000,Individual,Petrol,Manual,25.17,799,53.3,5,220000
11476,Ford,5,120000,Dealer,Diesel,Automatic,10.91,3198,197,7,2100000
11477,Hyundai,7,50000,Individual,Petrol,Manual,18.9,1197,82,5,400000
11479,Honda,7,85000,Individual,Diesel,Manual,26,1498,98.6,5,520000
11480,Renault,5,27000,Dealer,Petrol,Manual,25.17,799,53.3,5,350000
11481,Tata,3,27120,Dealer,Petrol,Manual,23.84,1199,84,5,460000
11482,Maruti,3,37000,Dealer,Diesel,Automatic,28.4,1248,74,5,775000
11483,Mahindra,4,25000,Dealer,Diesel,Manual,16,2179,140,7,1150000
11484,Maruti,3,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,600000
11485,Honda,5,122000,Individual,Diesel,Manual,26,1498,98.6,5,800000
11487,Mahindra,3,32525,Dealer,Diesel,Manual,16.5,1493,70,7,765000
11488,Maruti,3,20000,Individual,Diesel,Manual,28.4,1248,74.02,5,710000
11489,Ford,9,62230,Dealer,Diesel,Manual,20,1399,68.05,5,325000
11490,Maruti,12,68000,Individual,Petrol,Manual,19.7,796,46.3,5,130000
11491,Maruti,13,35000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
11492,Honda,8,38000,Dealer,Petrol,Manual,16.8,1497,116.3,5,450000
11493,Hyundai,9,45160,Dealer,Petrol,Manual,20.36,1197,78.9,5,250000
11495,Honda,7,35000,Dealer,Diesel,Manual,26,1498,98.6,5,511000
11496,Hyundai,8,61500,Dealer,Petrol,Automatic,16.95,1197,78.9,5,370000
11497,Mahindra,3,45000,Individual,Diesel,Manual,16.5,1493,70,7,620000
11498,Maruti,6,50000,Individual,Diesel,Manual,25.2,1248,74,5,550000
11500,Honda,2,47001,Dealer,Diesel,Manual,25.8,1498,98.6,5,549000
11501,Ford,11,80000,Individual,Diesel,Manual,20,1399,68,5,210000
11502,Ford,7,88000,Individual,Diesel,Manual,20,1399,68.05,5,240000
11503,Datsun,3,14001,Dealer,Petrol,Automatic,23,999,67,5,349000
11504,Hyundai,6,69000,Dealer,Petrol,Automatic,18.9,1197,82,5,475000
11505,Hyundai,13,70000,Dealer,Petrol,Manual,17.92,1086,62.1,5,150000
11506,Toyota,2,50000,Individual,Diesel,Manual,13.68,2393,147.8,8,1526000
11507,Maruti,4,70000,Individual,Diesel,Manual,28.4,1248,74.02,5,648000
11508,Honda,5,80000,Individual,Petrol,Manual,17.8,1497,117.3,5,785000
11509,Maruti,6,25000,Individual,Petrol,Manual,20.4,1197,81.8,5,460000
11510,Renault,3,25000,Dealer,Petrol,Automatic,24.04,999,67,5,370000
11511,Ford,6,142000,Dealer,Diesel,Manual,21.7,1498,98.96,5,525000
11513,Volkswagen,2,10000,Dealer,Petrol,Automatic,18.19,1197,103.2,5,1150000
11514,Maruti,2,15000,Individual,Petrol,Manual,15.37,1196,73,5,322000
11515,Skoda,7,20000,Individual,Petrol,Manual,15,1598,103.6,5,450000
11516,Maruti,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,500000
11517,Hyundai,3,25000,Individual,Petrol,Manual,18.6,1197,81.86,5,535000
11518,Honda,10,17000,Individual,Petrol,Automatic,16.8,1497,118,5,400000
11519,Hyundai,3,1493,Dealer,Petrol,Manual,18.6,1197,81.83,5,699000
11520,Hyundai,5,48000,Dealer,Petrol,Manual,19.81,1086,68.05,5,399000
11521,Hyundai,4,30000,Dealer,Petrol,Manual,17,1197,80,5,535000
11522,Maruti,6,48000,Dealer,Petrol,Manual,22.74,796,47.3,5,215000
11523,Mahindra,6,58376,Dealer,Diesel,Manual,16.55,2498,105,7,700000
11525,Honda,2,21000,Dealer,Petrol,Manual,17.8,1497,117.3,5,1025000
11526,Mahindra,9,68000,Dealer,Diesel,Manual,13.6,2523,63,7,445000
11527,Kia,2,5000,Individual,Petrol,Manual,16.1,1353,138,5,1560000
11528,Hyundai,3,13000,Individual,Petrol,Automatic,14.62,1999,149.92,5,1575000
11529,Mahindra,4,51000,Individual,Diesel,Manual,15.4,1997,120,7,1200000
11530,Hyundai,12,71000,Dealer,Petrol,Manual,20.35,1197,81.86,5,235000
11531,Honda,4,55000,Dealer,Petrol,Manual,17.8,1497,117.3,5,575000
11532,Ford,2,10000,Individual,Diesel,Manual,24.4,1498,98.63,5,800000
11535,Maruti,4,60000,Individual,Diesel,Manual,24.52,1248,88.5,7,800000
11537,Toyota,6,165000,Individual,Diesel,Manual,12.99,2494,100.6,7,830000
11539,Hyundai,8,35000,Dealer,Petrol,Manual,17,1197,80,5,325000
11540,Maruti,5,64000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000
11541,Maruti,3,47230,Dealer,Petrol,Manual,22,1197,81.8,5,625000
11542,Maruti,3,23167,Dealer,Petrol,Manual,21.56,1462,103.25,5,725000
11543,Maruti,4,22115,Individual,Petrol,Manual,20.89,1197,81.8,5,425000
11544,Maruti,2,38000,Dealer,Petrol,Manual,20.4,1197,81.8,5,632000
11545,Maruti,14,53000,Dealer,Petrol,Manual,21.79,998,67.05,5,175000
11546,Toyota,3,27000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1849000
11547,Hyundai,10,62540,Dealer,Petrol,Manual,18.5,1197,80,5,270000
11548,Mahindra,4,20000,Individual,Diesel,Automatic,16,1997,140,7,1350000
11550,Maruti,10,15000,Individual,Petrol,Manual,19.7,796,46.3,5,156000
11551,Ford,11,80000,Individual,Petrol,Manual,15.6,1196,70,5,150000
11552,Honda,3,22000,Dealer,Diesel,Manual,25.5,1498,98.6,5,895000
11553,Mahindra,5,36908,Dealer,Diesel,Manual,15.4,1997,120,9,600000
11555,Maruti,6,70000,Individual,Petrol,Manual,20.85,1197,83.14,5,450000
11556,Volkswagen,8,58000,Dealer,Diesel,Manual,22.07,1199,73.9,5,460000
11558,Honda,9,47000,Dealer,Petrol,Manual,16.8,1497,116.4,5,395000
11560,Toyota,10,196777,Dealer,Diesel,Manual,11.5,2982,171,7,1200000
11561,Hyundai,3,40000,Individual,Petrol,Manual,18.9,1197,81.86,5,500000
11563,Mahindra,3,50000,Dealer,Diesel,Manual,25.32,1198,77,6,555000
11565,BMW,9,34000,Dealer,Diesel,Automatic,13.2,1995,170,5,995000
11566,Honda,5,40000,Individual,Diesel,Manual,25.8,1498,98.6,5,515000
11567,Maruti,2,15000,Individual,Petrol,Manual,23.1,998,67.04,5,450000
11568,Mahindra,15,340000,Individual,Diesel,Manual,13.6,2523,63,7,250000
11571,Maruti,5,16000,Dealer,Petrol,Manual,24.7,796,47.3,5,325000
11572,Maruti,15,90000,Individual,LPG,Manual,17.3,1061,57.5,5,80000
11573,Maruti,5,80000,Individual,Diesel,Manual,24.3,1248,88.5,5,650000
11574,Honda,15,40000,Individual,Petrol,Manual,17.7,1497,78,5,300000
11575,Maruti,8,70000,Dealer,Diesel,Manual,23.4,1248,74,5,325000
11577,Maruti,6,80000,Individual,Diesel,Manual,20.77,1248,88.76,7,625000
11578,Maruti,4,20000,Individual,Petrol,Manual,24.7,796,47.3,5,250000
11579,Honda,4,33000,Dealer,Diesel,Manual,25.5,1498,98.6,5,699000
11580,Ford,6,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,450000
11581,Tata,3,70000,Individual,Diesel,Manual,14.1,2179,147.94,7,700000
11583,Maruti,9,154600,Individual,Diesel,Manual,19.3,1248,73.9,5,250000
11584,Hyundai,6,66392,Dealer,Diesel,Manual,21.19,1396,88.73,5,625000
11586,Volkswagen,6,120000,Individual,Diesel,Manual,20.14,1498,88.8,5,500000
11588,Maruti,6,60000,Individual,Diesel,Manual,28.09,1248,88.5,5,700000
11589,BMW,4,20000,Dealer,Diesel,Automatic,13.2,1995,170,5,2900000
11591,Mahindra,6,80000,Individual,Diesel,Manual,15.4,2179,120,7,850000
11592,Volkswagen,7,68000,Dealer,Diesel,Manual,20.54,1598,103.6,5,375000
11593,Mahindra,9,70000,Individual,Diesel,Manual,12.05,2179,120,8,465000
11594,Mahindra,9,80000,Individual,Diesel,Manual,15.96,2523,62.1,7,450000
11596,Tata,3,40000,Individual,Petrol,Manual,20.3,1199,84,5,550000
11597,Mahindra,7,56467,Dealer,Diesel,Manual,15.96,2523,62.1,7,625000
11598,Mahindra,3,20000,Individual,Diesel,Manual,16.5,1493,70,7,750000
11599,Mahindra,6,107107,Dealer,Diesel,Manual,15.96,2523,62.1,7,525000
11600,Maruti,5,60000,Individual,Petrol,Manual,20.85,1197,83.14,5,369000
11601,Datsun,6,14000,Dealer,Petrol,Automatic,18.57,1198,76.43,7,265000
11602,Renault,6,30000,Individual,Petrol,Manual,25.17,799,53.3,5,200000
11603,Maruti,5,38000,Dealer,Petrol,Manual,21.79,998,67.05,5,335000
11604,Maruti,10,94991,Dealer,Petrol,Manual,18.6,1197,85.8,5,315000
11605,Datsun,2,3300,Individual,Petrol,Manual,19.83,1198,67,5,490000
